movieid,title,production_companies
76285,Percy Jackson: Sea of Monsters,"[{""name"": ""1492 Pictures"", ""id"": 436}, {""name"": ""Dune Entertainment"", ""id"": 444}, {""name"": ""Fox 2000 Pictures"", ""id"": 711}, {""name"": ""Sunswept Entertainment"", ""id"": 5219}, {""name"": ""Dune Entertainment III"", ""id"": 6332}, {""name"": ""TSG Entertainment"", ""id"": 22213}]"
1996,Lara Croft Tomb Raider: The Cradle of Life,"[{""name"": ""Paramount Pictures"", ""id"": 4}, {""name"": ""Toho-Towa"", ""id"": 657}, {""name"": ""Mutual Film Company"", ""id"": 762}, {""name"": ""Lawrence Gordon Productions"", ""id"": 840}, {""name"": ""British Broadcasting Corporation (BBC)"", ""id"": 3324}, {""name"": ""October Pictures"", ""id"": 14362}, {""name"": ""Eidos Interactive"", ""id"": 19105}]"
291805,Now You See Me 2,"[{""name"": ""Summit Entertainment"", ""id"": 491}, {""name"": ""Lionsgate"", ""id"": 1632}, {""name"": ""K/O Paper Products"", ""id"": 7296}, {""name"": ""TIK Films"", ""id"": 72441}]"
10003,The Saint,"[{""name"": ""Paramount Pictures"", ""id"": 4}, {""name"": ""Mace Neufeld Productions"", ""id"": 2767}, {""name"": ""Rysher Entertainment"", ""id"": 11661}]"
1535,Spy Game,"[{""name"": ""Universal Pictures"", ""id"": 33}, {""name"": ""Metropolitan Filmexport"", ""id"": 656}, {""name"": ""Toho-Towa"", ""id"": 657}, {""name"": ""Red Wagon Productions"", ""id"": 780}, {""name"": ""Beacon Communications"", ""id"": 919}, {""name"": ""Kalima Productions GmbH & Co. KG"", ""id"": 7385}]"
2067,Mission to Mars,"[{""name"": ""Spyglass Entertainment"", ""id"": 158}, {""name"": ""The Jacobson Company"", ""id"": 3638}, {""name"": ""Touchstone Pictures"", ""id"": 9195}, {""name"": ""Red Horizon Productions"", ""id"": 22103}]"
46195,Rio,"[{""name"": ""Blue Sky Studios"", ""id"": 9383}, {""name"": ""Twentieth Century Fox Animation"", ""id"": 11749}]"
2277,Bicentennial Man,"[{""name"": ""Laurence Mark Productions"", ""id"": 415}, {""name"": ""1492 Pictures"", ""id"": 436}, {""name"": ""Columbia Pictures Corporation"", ""id"": 441}, {""name"": ""Touchstone Pictures"", ""id"": 9195}, {""name"": ""Radiant Productions"", ""id"": 18990}]"
10357,Volcano,"[{""name"": ""Twentieth Century Fox Film Corporation"", ""id"": 306}]"
4477,The Devil's Own,"[{""name"": ""Columbia Pictures"", ""id"": 5}]"
8665,K-19: The Widowmaker,"[{""name"": ""Paramount Pictures"", ""id"": 4}, {""name"": ""Intermedia Films"", ""id"": 763}, {""name"": ""National Geographic Society"", ""id"": 2471}, {""name"": ""New Regency Pictures"", ""id"": 10104}, {""name"": ""Palomar Pictures (II)"", ""id"": 11371}, {""name"": ""First Light Production"", ""id"": 20344}]"
9387,Conan the Barbarian,"[{""name"": ""Universal Pictures"", ""id"": 33}, {""name"": ""Dino De Laurentiis Company"", ""id"": 10308}]"
921,Cinderella Man,"[{""name"": ""Miramax Films"", ""id"": 14}, {""name"": ""Imagine Entertainment"", ""id"": 23}, {""name"": ""Universal Pictures"", ""id"": 33}, {""name"": ""Parkway Pictures (I)"", ""id"": 631}, {""name"": ""Touchstone Pictures"", ""id"": 9195}]"
49852,The Nutcracker: The Untold Story,"[{""name"": ""Vnesheconombank"", ""id"": 24013}, {""name"": ""Nutcracker Holdings"", ""id"": 24014}, {""name"": ""HCC Media Group"", ""id"": 24015}, {""name"": ""Russian Roulette Ltd."", ""id"": 24016}]"
4464,Seabiscuit,"[{""name"": ""Universal Pictures"", ""id"": 33}, {""name"": ""Spyglass Entertainment"", ""id"": 158}, {""name"": ""The Kennedy/Marshall Company"", ""id"": 862}, {""name"": ""DreamWorks Pictures"", ""id"": 7293}, {""name"": ""Touchstone Pictures"", ""id"": 9195}]"
664,Twister,"[{""name"": ""Universal Pictures"", ""id"": 33}, {""name"": ""Amblin Entertainment"", ""id"": 56}, {""name"": ""Warner Bros."", ""id"": 6194}, {""name"": ""Constant c Productions"", ""id"": 23370}]"
8358,Cast Away,"[{""name"": ""DreamWorks SKG"", ""id"": 27}, {""name"": ""Twentieth Century Fox Film Corporation"", ""id"": 306}, {""name"": ""Playtone"", ""id"": 4171}, {""name"": ""ImageMovers"", ""id"": 11395}]"
9836,Happy Feet,"[{""name"": ""Kennedy Miller Productions"", ""id"": 2537}, {""name"": ""Animal Logic"", ""id"": 8089}]"
2502,The Bourne Supremacy,"[{""name"": ""Universal Pictures"", ""id"": 33}, {""name"": ""The Kennedy/Marshall Company"", ""id"": 862}, {""name"": ""Hypnotic"", ""id"": 7384}, {""name"": ""Motion Picture THETA Produktionsgesellschaft"", ""id"": 11346}, {""name"": ""Ludlum Entertainment"", ""id"": 11347}]"
9772,Air Force One,"[{""name"": ""Columbia Pictures Corporation"", ""id"": 441}, {""name"": ""Beacon Communications"", ""id"": 919}, {""name"": ""Radiant Productions"", ""id"": 18990}]"
161,Ocean's Eleven,"[{""name"": ""Village Roadshow Pictures"", ""id"": 79}, {""name"": ""Section Eight"", ""id"": 129}, {""name"": ""NPV Entertainment"", ""id"": 172}, {""name"": ""Jerry Weintraub Productions"", ""id"": 2596}, {""name"": ""Warner Bros."", ""id"": 6194}, {""name"": ""WV Films II"", ""id"": 24939}]"
52451,The Three Musketeers,"[{""name"": ""Impact Pictures"", ""id"": 248}, {""name"": ""Studio Babelsberg"", ""id"": 264}, {""name"": ""Nouvelles \u00c9ditions de Films (NEF)"", ""id"": 753}, {""name"": ""New Legacy"", ""id"": 939}, {""name"": ""Constantin Film Produktion"", ""id"": 5755}]"
76492,Hotel Transylvania,"[{""name"": ""Columbia Pictures"", ""id"": 5}, {""name"": ""Sony Pictures Animation"", ""id"": 2251}]"
4523,Enchanted,"[{""name"": ""Walt Disney Pictures"", ""id"": 2}, {""name"": ""Josephson Entertainment"", ""id"": 1894}, {""name"": ""Andalasia Productions"", ""id"": 8908}, {""name"": ""Right Coast Productions"", ""id"": 8909}]"
59961,Safe House,"[{""name"": ""Universal Pictures"", ""id"": 33}, {""name"": ""Dentsu"", ""id"": 6452}, {""name"": ""Relativity Media"", ""id"": 7295}, {""name"": ""Bluegrass Films"", ""id"": 13778}]"
10481,102 Dalmatians,"[{""name"": ""Walt Disney Pictures"", ""id"": 2}, {""name"": ""Cruella Productions"", ""id"": 10472}]"
59108,Tower Heist,"[{""name"": ""Universal Pictures"", ""id"": 33}, {""name"": ""Image Entertainment"", ""id"": 3086}, {""name"": ""Relativity Media"", ""id"": 7295}, {""name"": ""Rat Entertainment"", ""id"": 12007}]"
1581,The Holiday,"[{""name"": ""Columbia Pictures"", ""id"": 5}, {""name"": ""Universal Pictures"", ""id"": 33}, {""name"": ""Waverly Films"", ""id"": 735}, {""name"": ""Relativity Media"", ""id"": 7295}]"
9798,Enemy of the State,"[{""name"": ""Jerry Bruckheimer Films"", ""id"": 130}, {""name"": ""Scott Free Productions"", ""id"": 1645}, {""name"": ""Touchstone Pictures"", ""id"": 9195}, {""name"": ""No Such Productions"", ""id"": 79209}]"
22897,It's Complicated,"[{""name"": ""Universal Pictures"", ""id"": 33}, {""name"": ""Scott Rudin Productions"", ""id"": 258}, {""name"": ""Waverly Films"", ""id"": 735}, {""name"": ""Dentsu"", ""id"": 6452}, {""name"": ""Relativity Media"", ""id"": 7295}]"
298,Ocean's Thirteen,"[{""name"": ""Village Roadshow Pictures"", ""id"": 79}, {""name"": ""Section Eight"", ""id"": 129}, {""name"": ""Jerry Weintraub Productions"", ""id"": 2596}, {""name"": ""Warner Bros."", ""id"": 6194}]"
7484,Open Season,"[{""name"": ""Sony Pictures Animation"", ""id"": 2251}]"
157350,Divergent,"[{""name"": ""Summit Entertainment"", ""id"": 491}, {""name"": ""Red Wagon Entertainment"", ""id"": 14440}]"
853,Enemy at the Gates,"[{""name"": ""Paramount Pictures"", ""id"": 4}, {""name"": ""Swanford Films"", ""id"": 549}, {""name"": ""Mandalay Pictures"", ""id"": 551}, {""name"": ""Little Bird"", ""id"": 11358}, {""name"": ""KC Medien"", ""id"": 22182}, {""name"": ""Reperage"", ""id"": 24136}, {""name"": ""DOS"", ""id"": 24137}, {""name"": ""MP Film Management"", ""id"": 24138}]"
10159,The Rundown,"[{""name"": ""Columbia Pictures"", ""id"": 5}, {""name"": ""Universal Pictures"", ""id"": 33}, {""name"": ""Strike Entertainment"", ""id"": 655}, {""name"": ""WWE Studios"", ""id"": 10339}, {""name"": ""Misher Films"", ""id"": 11581}, {""name"": ""IM3 Entertainment"", ""id"": 90249}]"
9593,Last Action Hero,"[{""name"": ""Columbia Pictures Corporation"", ""id"": 441}, {""name"": ""Oak Productions"", ""id"": 55528}]"
1904,Memoirs of a Geisha,"[{""name"": ""DreamWorks SKG"", ""id"": 27}, {""name"": ""Spyglass Entertainment"", ""id"": 158}, {""name"": ""Columbia Pictures Corporation"", ""id"": 441}, {""name"": ""Red Wagon Productions"", ""id"": 780}]"
9615,The Fast and the Furious: Tokyo Drift,"[{""name"": ""Universal Pictures"", ""id"": 33}]"
51052,Arthur Christmas,"[{""name"": ""Columbia Pictures"", ""id"": 5}, {""name"": ""Aardman Animations"", ""id"": 297}, {""name"": ""Sony Pictures Animation"", ""id"": 2251}]"
297,Meet Joe Black,"[{""name"": ""Universal Pictures"", ""id"": 33}, {""name"": ""City Light Films"", ""id"": 136}]"
9884,Collateral Damage,"[{""name"": ""David Foster Productions"", ""id"": 496}, {""name"": ""Bel Air Entertainment"", ""id"": 788}, {""name"": ""Warner Bros."", ""id"": 6194}, {""name"": ""Hacienda Productions"", ""id"": 43717}]"
16858,All That Jazz,"[{""name"": ""Twentieth Century Fox Film Corporation"", ""id"": 306}, {""name"": ""Columbia Pictures Corporation"", ""id"": 441}]"
62764,Mirror Mirror,"[{""name"": ""Relativity Media"", ""id"": 7295}, {""name"": ""Misher Films"", ""id"": 11581}, {""name"": ""Yucaipa Films"", ""id"": 12005}, {""name"": ""Goldmann Pictures"", ""id"": 12006}, {""name"": ""Rat Entertainment"", ""id"": 12007}, {""name"": ""Misha Films"", ""id"": 12008}]"
22538,Scott Pilgrim vs. the World,"[{""name"": ""Universal Pictures"", ""id"": 33}, {""name"": ""Marc Platt Productions"", ""id"": 2527}]"
9341,The Core,"[{""name"": ""Paramount Pictures"", ""id"": 4}, {""name"": ""David Foster Productions"", ""id"": 496}, {""name"": ""Horsepower Films"", ""id"": 2199}, {""name"": ""LivePlanet"", ""id"": 7161}, {""name"": ""Core Productions"", ""id"": 12213}, {""name"": ""Munich Film Partners New Century & Company (MFP) Core Productions"", ""id"": 12214}]"
12107,Nutty Professor II: The Klumps,"[{""name"": ""Imagine Entertainment"", ""id"": 23}, {""name"": ""Universal Pictures"", ""id"": 33}]"
9637,Scooby-Doo,"[{""name"": ""Atlas Entertainment"", ""id"": 507}, {""name"": ""Mosaic Media Group"", ""id"": 748}, {""name"": ""Warner Bros."", ""id"": 6194}]"
49049,Dredd,"[{""name"": ""DNA Films"", ""id"": 284}, {""name"": ""Reliance BIG Entertainment"", ""id"": 6733}, {""name"": ""IM Global"", ""id"": 7437}, {""name"": ""Rena Film"", ""id"": 46506}, {""name"": ""Peach Trees"", ""id"": 46507}]"
9339,Click,"[{""name"": ""Original Film"", ""id"": 333}, {""name"": ""Columbia Pictures Corporation"", ""id"": 441}, {""name"": ""Revolution Studios"", ""id"": 497}, {""name"": ""Happy Madison Productions"", ""id"": 2608}]"
16281,Creepshow,"[{""name"": ""Warner Bros."", ""id"": 6194}, {""name"": ""Creepshow Films Inc."", ""id"": 14179}, {""name"": ""Laurel Entertainment Inc."", ""id"": 14180}]"
39691,Cats & Dogs 2 : The Revenge of Kitty Galore,"[{""name"": ""Village Roadshow Pictures"", ""id"": 79}]"
8247,Jumper,"[{""name"": ""Dune Entertainment"", ""id"": 444}, {""name"": ""Hypnotic"", ""id"": 7384}, {""name"": ""New Regency Pictures"", ""id"": 10104}]"
11253,Hellboy II: The Golden Army,"[{""name"": ""Universal Pictures"", ""id"": 33}, {""name"": ""Dark Horse Entertainment"", ""id"": 552}, {""name"": ""Lawrence Gordon Productions"", ""id"": 840}, {""name"": ""Mid Atlantic Films"", ""id"": 2735}, {""name"": ""Relativity Media"", ""id"": 7295}, {""name"": ""Internationale Filmproduktion Eagle"", ""id"": 21498}]"
1949,Zodiac,"[{""name"": ""Paramount Pictures"", ""id"": 4}, {""name"": ""Warner Bros."", ""id"": 6194}, {""name"": ""Phoenix Pictures"", ""id"": 11317}]"
8452,The 6th Day,"[{""name"": ""Phoenix Pictures"", ""id"": 11317}]"
310,Bruce Almighty,"[{""name"": ""Universal Pictures"", ""id"": 33}, {""name"": ""Spyglass Entertainment"", ""id"": 158}, {""name"": ""Shady Acres Entertainment"", ""id"": 159}, {""name"": ""Pit Bull Productions"", ""id"": 160}]"
27578,The Expendables,"[{""name"": ""Millennium Films"", ""id"": 10254}]"
954,Mission: Impossible,"[{""name"": ""Paramount Pictures"", ""id"": 4}, {""name"": ""Cruise/Wagner Productions"", ""id"": 44}]"
70160,The Hunger Games,"[{""name"": ""Lionsgate"", ""id"": 1632}, {""name"": ""Color Force"", ""id"": 5420}]"
45243,The Hangover Part II,"[{""name"": ""Legendary Pictures"", ""id"": 923}, {""name"": ""Living Films"", ""id"": 2877}, {""name"": ""Green Hat Films"", ""id"": 3527}, {""name"": ""Warner Bros."", ""id"": 6194}]"
364,Batman Returns,"[{""name"": ""PolyGram Filmed Entertainment"", ""id"": 1382}, {""name"": ""Warner Bros."", ""id"": 6194}]"
7518,Over the Hedge,"[{""name"": ""Pacific Data Images (PDI)"", ""id"": 520}, {""name"": ""DreamWorks Animation"", ""id"": 521}]"
11544,Lilo & Stitch,"[{""name"": ""Walt Disney Pictures"", ""id"": 2}, {""name"": ""Walt Disney Feature Animation"", ""id"": 10217}]"
9986,Charlotte's Web,"[{""name"": ""Paramount Pictures"", ""id"": 4}, {""name"": ""Kerner Entertainment Company"", ""id"": 7311}]"
8656,Deep Impact,"[{""name"": ""Paramount Pictures"", ""id"": 4}, {""name"": ""DreamWorks SKG"", ""id"": 27}, {""name"": ""Zanuck/Brown Productions"", ""id"": 1865}, {""name"": ""Manhattan Project"", ""id"": 2478}]"
146216,RED 2,"[{""name"": ""DC Comics"", ""id"": 429}, {""name"": ""Di Bonaventura Pictures"", ""id"": 435}, {""name"": ""Summit Entertainment"", ""id"": 491}, {""name"": ""DC Entertainment"", ""id"": 9993}]"
9291,The Longest Yard,"[{""name"": ""Paramount Pictures"", ""id"": 4}, {""name"": ""Columbia Pictures Corporation"", ""id"": 441}, {""name"": ""MTV Films"", ""id"": 746}, {""name"": ""Happy Madison Productions"", ""id"": 2608}, {""name"": ""Callahan Filmworks"", ""id"": 60378}]"
55301,Alvin and the Chipmunks: Chipwrecked,"[{""name"": ""Fox 2000 Pictures"", ""id"": 711}]"
109418,Grown Ups 2,"[{""name"": ""Columbia Pictures"", ""id"": 5}, {""name"": ""Happy Madison Productions"", ""id"": 2608}, {""name"": ""Sony Pictures Entertainment (SPE)"", ""id"": 7431}]"
11665,Get Smart,"[{""name"": ""Village Roadshow Pictures"", ""id"": 79}, {""name"": ""Atlas Entertainment"", ""id"": 507}, {""name"": ""Mosaic Media Group"", ""id"": 748}, {""name"": ""Mad Chance"", ""id"": 1757}, {""name"": ""Warner Bros."", ""id"": 6194}, {""name"": ""WV Films IV"", ""id"": 27352}, {""name"": ""Mel's Cite du Cinema"", ""id"": 54502}, {""name"": ""Callahan Filmworks"", ""id"": 60378}]"
6964,Something's Gotta Give,"[{""name"": ""Columbia Pictures Corporation"", ""id"": 441}, {""name"": ""Waverly Films"", ""id"": 735}, {""name"": ""Warner Bros."", ""id"": 6194}]"
11324,Shutter Island,"[{""name"": ""Paramount Pictures"", ""id"": 4}, {""name"": ""Appian Way"", ""id"": 562}, {""name"": ""Phoenix Pictures"", ""id"": 11317}, {""name"": ""Sikelia Productions"", ""id"": 23243}]"
12193,Four Christmases,"[{""name"": ""New Line Cinema"", ""id"": 12}, {""name"": ""Spyglass Entertainment"", ""id"": 158}, {""name"": ""Type A Films"", ""id"": 2308}, {""name"": ""Ott Medien"", ""id"": 2795}, {""name"": ""Wild West Picture Show Productions"", ""id"": 2796}]"
9928,Robots,"[{""name"": ""Blue Sky Studios"", ""id"": 9383}, {""name"": ""Twentieth Century Fox Animation"", ""id"": 11749}]"
754,Face/Off,"[{""name"": ""Paramount Pictures"", ""id"": 4}, {""name"": ""Permut Presentations"", ""id"": 455}, {""name"": ""WCG Entertainment Productions"", ""id"": 456}, {""name"": ""Douglas/Reuther Productions"", ""id"": 458}, {""name"": ""Touchstone Pictures"", ""id"": 9195}, {""name"": ""Krane Entertainment"", ""id"": 25358}]"
10202,Bedtime Stories,"[{""name"": ""Walt Disney Pictures"", ""id"": 2}, {""name"": ""Happy Madison Productions"", ""id"": 2608}, {""name"": ""Gunn Films"", ""id"": 3538}]"
4147,Road to Perdition,"[{""name"": ""DreamWorks SKG"", ""id"": 27}, {""name"": ""The Zanuck Company"", ""id"": 80}, {""name"": ""Twentieth Century Fox Film Corporation"", ""id"": 306}]"
50546,Just Go with It,"[{""name"": ""Columbia Pictures"", ""id"": 5}, {""name"": ""Happy Madison Productions"", ""id"": 2608}]"
1701,Con Air,"[{""name"": ""Jerry Bruckheimer Films"", ""id"": 130}, {""name"": ""Kouf/Bigelow Productions"", ""id"": 3589}, {""name"": ""Touchstone Pictures"", ""id"": 9195}, {""name"": ""Hiett Designs of Las Vegas"", ""id"": 78338}, {""name"": ""Runway Pictures Inc"", ""id"": 78339}]"
13027,Eagle Eye,"[{""name"": ""DreamWorks SKG"", ""id"": 27}, {""name"": ""K/O Paper Products"", ""id"": 7296}, {""name"": ""Goldcrest Pictures"", ""id"": 11843}, {""name"": ""KMP Film Invest"", ""id"": 20157}]"
2289,Cold Mountain,"[{""name"": ""Miramax Films"", ""id"": 14}, {""name"": ""Mirage Enterprises"", ""id"": 932}, {""name"": ""Castel Film Romania"", ""id"": 1370}, {""name"": ""Bona Fide Productions"", ""id"": 2570}, {""name"": ""Cattleya"", ""id"": 10102}]"
20504,The Book of Eli,"[{""name"": ""Alcon Entertainment"", ""id"": 1088}, {""name"": ""Silver Pictures"", ""id"": 1885}]"
9574,Flubber,"[{""name"": ""Walt Disney Pictures"", ""id"": 2}, {""name"": ""Great Oaks Entertainment"", ""id"": 2173}]"
11618,The Haunting,"[{""name"": ""DreamWorks"", ""id"": 7}, {""name"": ""Roth-Arnold Productions"", ""id"": 1560}]"
2300,Space Jam,"[{""name"": ""Warner Bros. Family Entertainment"", ""id"": 3592}, {""name"": ""Northern Lights Entertainment"", ""id"": 8816}, {""name"": ""Courtside Seats Productions"", ""id"": 55527}]"
12096,The Pink Panther,"[{""name"": ""Columbia Pictures"", ""id"": 5}, {""name"": ""International Production Company"", ""id"": 1507}, {""name"": ""The Montecito Picture Company"", ""id"": 2364}, {""name"": ""Robert Simonds Productions"", ""id"": 3929}, {""name"": ""Metro-Goldwyn-Mayer (MGM)"", ""id"": 8411}]"
10200,The Day the Earth Stood Still,"[{""name"": ""Twentieth Century Fox Film Corporation"", ""id"": 306}, {""name"": ""Dune Entertainment III"", ""id"": 6332}, {""name"": ""Earth Canada Productions"", ""id"": 20374}, {""name"": ""Hammerhead Productions"", ""id"": 20375}, {""name"": ""3 Arts Entertainment"", ""id"": 36390}]"
8834,Conspiracy Theory,"[{""name"": ""Silver Pictures"", ""id"": 1885}, {""name"": ""Warner Bros."", ""id"": 6194}, {""name"": ""Donner/Shuler-Donner Productions"", ""id"": 23397}]"
228150,Fury,"[{""name"": ""Columbia Pictures"", ""id"": 5}, {""name"": ""QED International"", ""id"": 11029}, {""name"": ""Crave Films"", ""id"": 16312}, {""name"": ""LStar Capital"", ""id"": 34034}, {""name"": ""Huayi Brothers Media"", ""id"": 39649}, {""name"": ""Le Grisbi Productions"", ""id"": 47169}]"
6068,Six Days Seven Nights,"[{""name"": ""Caravan Pictures"", ""id"": 175}, {""name"": ""Roger Birnbaum Productions"", ""id"": 961}, {""name"": ""Northern Lights Entertainment"", ""id"": 8816}, {""name"": ""Touchstone Pictures"", ""id"": 9195}]"
41515,Yogi Bear,"[{""name"": ""De Line Pictures"", ""id"": 2609}, {""name"": ""Warner Bros. Animation"", ""id"": 2785}, {""name"": ""Sunswept Entertainment"", ""id"": 5219}, {""name"": ""Rhythm and Hues"", ""id"": 13481}, {""name"": ""Picnic Basket"", ""id"": 19045}]"
9023,Spirit: Stallion of the Cimarron,"[{""name"": ""DreamWorks SKG"", ""id"": 27}, {""name"": ""DreamWorks Animation"", ""id"": 521}]"
38317,Zookeeper,"[{""name"": ""Columbia Pictures"", ""id"": 5}, {""name"": ""Happy Madison Productions"", ""id"": 2608}, {""name"": ""Sony Pictures Releasing"", ""id"": 3045}, {""name"": ""Broken Road Productions"", ""id"": 8000}, {""name"": ""Metro-Goldwyn-Mayer (MGM)"", ""id"": 8411}, {""name"": ""Zookeeper Productions"", ""id"": 46221}, {""name"": ""Hey Eddie"", ""id"": 46222}]"
2157,Lost in Space,"[{""name"": ""New Line Cinema"", ""id"": 12}, {""name"": ""Irwin Allen Productions"", ""id"": 14024}, {""name"": ""Prelude Pictures"", ""id"": 19902}, {""name"": ""Saltire Entertainment"", ""id"": 30253}]"
14462,The Manchurian Candidate,"[{""name"": ""Paramount Pictures"", ""id"": 4}, {""name"": ""Scott Rudin Productions"", ""id"": 258}, {""name"": ""Clinica Estetico"", ""id"": 1274}]"
161795,Déjà Vu,"[{""name"": ""Rainbow Film Company, The"", ""id"": 27584}, {""name"": ""Revere Entertainment"", ""id"": 40955}, {""name"": ""Jagtoria Films"", ""id"": 40956}]"
159824,Hotel Transylvania 2,"[{""name"": ""Columbia Pictures"", ""id"": 5}, {""name"": ""Sony Pictures Animation"", ""id"": 2251}]"
49948,Fantasia 2000,"[{""name"": ""Walt Disney Pictures"", ""id"": 2}]"
2135,The Time Machine,"[{""name"": ""DreamWorks SKG"", ""id"": 27}, {""name"": ""Warner Bros."", ""id"": 6194}]"
9822,Mighty Joe Young,"[{""name"": ""Walt Disney Pictures"", ""id"": 2}, {""name"": ""RKO Pictures"", ""id"": 4361}]"
9705,Swordfish,"[{""name"": ""Village Roadshow Pictures"", ""id"": 79}, {""name"": ""NPV Entertainment"", ""id"": 172}, {""name"": ""Silver Pictures"", ""id"": 1885}, {""name"": ""Warner Bros."", ""id"": 6194}, {""name"": ""Jonathan Krane Group"", ""id"": 46458}]"
1656,The Legend of Zorro,"[{""name"": ""Amblin Entertainment"", ""id"": 56}, {""name"": ""Columbia Pictures Corporation"", ""id"": 441}]"
12159,What Dreams May Come,"[{""name"": ""PolyGram Filmed Entertainment"", ""id"": 1382}]"
9678,Little Nicky,"[{""name"": ""New Line Cinema"", ""id"": 12}, {""name"": ""Avery Pix"", ""id"": 1565}, {""name"": ""Happy Madison Productions"", ""id"": 2608}]"
4442,The Brothers Grimm,"[{""name"": ""The Weinstein Company"", ""id"": 308}, {""name"": ""Summit Entertainment"", ""id"": 491}, {""name"": ""Atlas Entertainment"", ""id"": 507}, {""name"": ""Mosaic Media Group"", ""id"": 748}, {""name"": ""Reforma Films"", ""id"": 1649}, {""name"": ""Dimension Films"", ""id"": 7405}, {""name"": ""Metro-Goldwyn-Mayer (MGM)"", ""id"": 8411}, {""name"": ""Revolution Sun Studios"", ""id"": 76043}]"
75,Mars Attacks!,"[{""name"": ""Tim Burton Productions"", ""id"": 8601}]"
330770,Evolution,"[{""name"": ""Ex Nihilo"", ""id"": 3307}, {""name"": ""Canal+"", ""id"": 5358}, {""name"": ""Les films du Worso"", ""id"": 7395}, {""name"": ""Noodles Production"", ""id"": 7792}, {""name"": ""Cin\u00e9+"", ""id"": 10611}, {""name"": ""Scope Pictures"", ""id"": 11199}, {""name"": ""Le Tax Shelter du Gouvernement F\u00e9d\u00e9ral de Belgique"", ""id"": 11921}, {""name"": ""Centre National de la Cin\u00e9matographie (CNC)"", ""id"": 18367}, {""name"": ""Minist\u00e8re de la Culture et de la Communication"", ""id"": 25818}, {""name"": ""Volcano Films"", ""id"": 52184}, {""name"": ""Left Field Ventures"", ""id"": 58659}, {""name"": ""Evo Films A.I.E."", ""id"": 76444}, {""name"": ""Ind\u00e9films 3"", ""id"": 76445}, {""name"": ""Palatine \u00c9toile 12"", ""id"": 76446}, {""name"": ""Cin\u00e9feel Prod"", ""id"": 76447}]"
9433,The Edge,"[{""name"": ""Art Linson Productions"", ""id"": 8769}]"
19959,Surrogates,"[{""name"": ""Touchstone Pictures"", ""id"": 9195}, {""name"": ""Mandeville Films"", ""id"": 10227}, {""name"": ""Wintergreen Productions"", ""id"": 11845}, {""name"": ""Top Shelf Productions"", ""id"": 41978}]"
11973,Thirteen Days,"[{""name"": ""New Line Cinema"", ""id"": 12}, {""name"": ""Tig Productions"", ""id"": 335}]"
11228,Daylight,"[{""name"": ""Universal Pictures"", ""id"": 33}, {""name"": ""Davis Entertainment"", ""id"": 1302}]"
77951,Walking With Dinosaurs,"[{""name"": ""BBC Worldwide"", ""id"": 3164}, {""name"": ""Reliance BIG Entertainment"", ""id"": 6733}, {""name"": ""Animal Logic"", ""id"": 8089}, {""name"": ""BBC Earth"", ""id"": 8090}, {""name"": ""Evergreen Films"", ""id"": 8091}, {""name"": ""BBC Earth MD (WWD)"", ""id"": 53498}, {""name"": ""Evergreen MD"", ""id"": 53499}]"
5491,Battlefield Earth,"[{""name"": ""Franchise Pictures"", ""id"": 1403}, {""name"": ""Warner Bros."", ""id"": 6194}, {""name"": ""JTP Films"", ""id"": 7406}, {""name"": ""Morgan Creek Productions"", ""id"": 10210}, {""name"": ""Battlefield Productions"", ""id"": 19718}]"
10715,Looney Tunes: Back in Action,"[{""name"": ""Lonely Film Productions GmbH & Co. KG."", ""id"": 430}, {""name"": ""Warner Bros. Animation"", ""id"": 2785}, {""name"": ""Warner Bros."", ""id"": 6194}, {""name"": ""Goldmann Pictures"", ""id"": 12006}, {""name"": ""Baltimore Spring Creek Productions"", ""id"": 16061}, {""name"": ""Warner Bros. Feature Animation"", ""id"": 20734}]"
10197,Nine,"[{""name"": ""The Weinstein Company"", ""id"": 308}, {""name"": ""Relativity Media"", ""id"": 7295}]"
9562,Timeline,"[{""name"": ""Paramount Pictures"", ""id"": 4}, {""name"": ""Donners' Company"", ""id"": 431}, {""name"": ""Mutual Film Company"", ""id"": 762}, {""name"": ""Cobalt Media Group"", ""id"": 18619}, {""name"": ""Artists Production Group (APG)"", ""id"": 18620}]"
9922,The Postman,"[{""name"": ""Tig Productions"", ""id"": 335}, {""name"": ""Warner Bros."", ""id"": 6194}]"
9447,Babe: Pig in the City,"[{""name"": ""Kennedy Miller Productions"", ""id"": 2537}]"
274854,The Last Witch Hunter,"[{""name"": ""Summit Entertainment"", ""id"": 491}, {""name"": ""Atmosphere Entertainment MM"", ""id"": 2995}, {""name"": ""One Race Films"", ""id"": 7154}, {""name"": ""Goldmann Pictures"", ""id"": 12006}, {""name"": ""NeoReel"", ""id"": 24097}, {""name"": ""Aperture Entertainment"", ""id"": 33832}, {""name"": ""TIK Films"", ""id"": 72441}]"
8870,Red Planet,"[{""name"": ""Village Roadshow Pictures"", ""id"": 79}, {""name"": ""NPV Entertainment"", ""id"": 172}, {""name"": ""Warner Bros."", ""id"": 6194}, {""name"": ""The Canton Company"", ""id"": 22351}, {""name"": ""Mars Production Pty. Ltd."", ""id"": 53997}]"
9992,Arthur and the Invisibles,"[{""name"": ""Canal Plus"", ""id"": 104}, {""name"": ""Sofica Europacorp"", ""id"": 854}, {""name"": ""Avalanche Productions"", ""id"": 2525}, {""name"": ""EuropaCorp"", ""id"": 6896}]"
